idx_p,idx_v,nb,displace_func,metric,value_uni,value_opt,time_uni,time_opt
1,1,1,black_box,obj_pwldr,75727.22892237063,75564.34296998796,0.023000001907348633,1.1970000267028809
1,1,1,black_box,dr_pwldr,75695.08675222569,75536.2509406519,0.023000001907348633,1.1970000267028809
1,1,1,black_box,reopt_pwldr,73696.35123795512,73696.35123795512,0.023000001907348633,1.1970000267028809
1,1,1,local_search,obj_pwldr,75727.22892237063,75564.34296998796,0.023000001907348633,0.04900002479553223
1,1,1,local_search,dr_pwldr,75695.08675222569,75536.2509406519,0.023000001907348633,0.04900002479553223
1,1,1,local_search,reopt_pwldr,73696.35123795512,73696.35123795512,0.023000001907348633,0.04900002479553223
1,1,2,black_box,obj_pwldr,75606.8879852508,75559.52260897166,0.04200005531311035,1.6489999294281006
1,1,2,black_box,dr_pwldr,75576.50488171566,75531.8836092747,0.04200005531311035,1.6489999294281006
1,1,2,black_box,reopt_pwldr,73696.35123795508,73696.35123795512,0.04200005531311035,1.6489999294281006
1,1,2,local_search,obj_pwldr,75606.8879852508,75559.52260897166,0.04200005531311035,0.07200002670288086
1,1,2,local_search,dr_pwldr,75576.50488171566,75531.8836092747,0.04200005531311035,0.07200002670288086
1,1,2,local_search,reopt_pwldr,73696.35123795508,73696.35123795512,0.04200005531311035,0.07200002670288086
1,1,3,black_box,obj_pwldr,75569.46241695061,75559.47471305747,0.02499985694885254,1.9260001182556152
1,1,3,black_box,dr_pwldr,75541.84106027537,75531.80659353353,0.02499985694885254,1.9260001182556152
1,1,3,black_box,reopt_pwldr,73696.35123795512,73696.35123795512,0.02499985694885254,1.9260001182556152
1,1,3,local_search,obj_pwldr,75569.46241695061,75559.47471305748,0.02499985694885254,0.10599994659423828
1,1,3,local_search,dr_pwldr,75541.84106027537,75531.80659353353,0.02499985694885254,0.10599994659423828
1,1,3,local_search,reopt_pwldr,73696.35123795512,73696.35123795512,0.02499985694885254,0.10599994659423828
1,1,4,black_box,obj_pwldr,75582.93562153868,75558.88041220262,0.029000043869018555,2.75600004196167
1,1,4,black_box,dr_pwldr,75555.05615064093,75531.22649728181,0.029000043869018555,2.75600004196167
1,1,4,black_box,reopt_pwldr,73696.35123795512,73696.35123795512,0.029000043869018555,2.75600004196167
1,1,4,local_search,obj_pwldr,75582.93562153868,75558.88041220262,0.029000043869018555,0.16899991035461426
1,1,4,local_search,dr_pwldr,75555.05615064093,75531.22649728181,0.029000043869018555,0.16899991035461426
1,1,4,local_search,reopt_pwldr,73696.35123795512,73696.35123795512,0.029000043869018555,0.16899991035461426
1,1,5,black_box,obj_pwldr,75576.88318410405,75558.85601067846,0.042999982833862305,2.7719998359680176
1,1,5,black_box,dr_pwldr,75548.15952520384,75531.20130311097,0.042999982833862305,2.7719998359680176
1,1,5,black_box,reopt_pwldr,73696.35123795512,73696.35123795512,0.042999982833862305,2.7719998359680176
1,1,5,local_search,obj_pwldr,75576.88318410405,75558.85601067846,0.042999982833862305,0.21900010108947754
1,1,5,local_search,dr_pwldr,75548.15952520384,75531.20130311097,0.042999982833862305,0.21900010108947754
1,1,5,local_search,reopt_pwldr,73696.35123795512,73696.35123795512,0.042999982833862305,0.21900010108947754
1,1,6,black_box,obj_pwldr,75565.19614161323,75559.06231148473,0.03900003433227539,3.671999931335449
1,1,6,black_box,dr_pwldr,75536.89856697374,75531.40305255004,0.03900003433227539,3.671999931335449
1,1,6,black_box,reopt_pwldr,73696.35123795512,73696.35123795512,0.03900003433227539,3.671999931335449
1,1,6,local_search,obj_pwldr,75565.19614161323,75559.06231148473,0.03900003433227539,0.30500006675720215
1,1,6,local_search,dr_pwldr,75536.89856697374,75531.40305255004,0.03900003433227539,0.30500006675720215
1,1,6,local_search,reopt_pwldr,73696.35123795512,73696.35123795512,0.03900003433227539,0.30500006675720215
1,1,7,black_box,obj_pwldr,75563.77619188568,75558.90446369344,0.04699993133544922,3.928999900817871
1,1,7,black_box,dr_pwldr,75536.03858418144,75531.24504929007,0.04699993133544922,3.928999900817871
1,1,7,black_box,reopt_pwldr,73696.35123795512,73696.35123795512,0.04699993133544922,3.928999900817871
1,1,7,local_search,obj_pwldr,75563.77619188568,75558.90446369346,0.04699993133544922,0.8159999847412109
1,1,7,local_search,dr_pwldr,75536.03858418144,75531.24504929008,0.04699993133544922,0.8159999847412109
1,1,7,local_search,reopt_pwldr,73696.35123795512,73696.35123795512,0.04699993133544922,0.8159999847412109
1,1,8,black_box,obj_pwldr,75566.88158372183,75558.86643524616,0.04799985885620117,5.072000026702881
1,1,8,black_box,dr_pwldr,75538.90852494654,75531.21086617505,0.04799985885620117,5.072000026702881
1,1,8,black_box,reopt_pwldr,73696.35123795512,73696.35123795512,0.04799985885620117,5.072000026702881
1,1,8,local_search,obj_pwldr,75566.88158372183,75558.86643524616,0.04799985885620117,0.5940001010894775
1,1,8,local_search,dr_pwldr,75538.90852494654,75531.21086617505,0.04799985885620117,0.5940001010894775
1,1,8,local_search,reopt_pwldr,73696.35123795512,73696.35123795512,0.04799985885620117,0.5940001010894775
1,1,9,black_box,obj_pwldr,75564.85552504273,75558.89027740824,0.04800009727478027,6.618000030517578
1,1,9,black_box,dr_pwldr,75536.85117768125,75531.23501823319,0.04800009727478027,6.618000030517578
1,1,9,black_box,reopt_pwldr,73696.35123795512,73696.35123795511,0.04800009727478027,6.618000030517578
1,1,9,local_search,obj_pwldr,75564.85552504273,75558.89027740824,0.04800009727478027,0.5870001316070557
1,1,9,local_search,dr_pwldr,75536.85117768125,75531.23501823319,0.04800009727478027,0.5870001316070557
1,1,9,local_search,reopt_pwldr,73696.35123795512,73696.35123795511,0.04800009727478027,0.5870001316070557
1,1,10,black_box,obj_pwldr,75560.21577643887,75558.91899785084,0.06200003623962402,8.479999780654907
1,1,10,black_box,dr_pwldr,75532.40116638174,75531.24170532453,0.06200003623962402,8.479999780654907
1,1,10,black_box,reopt_pwldr,73696.35123795512,73696.35123795512,0.06200003623962402,8.479999780654907
1,1,10,local_search,obj_pwldr,75560.21577643887,75558.86223627048,0.06200003623962402,0.9940001964569092
1,1,10,local_search,dr_pwldr,75532.40116638174,75531.20500224012,0.06200003623962402,0.9940001964569092
1,1,10,local_search,reopt_pwldr,73696.35123795512,73696.35123795512,0.06200003623962402,0.9940001964569092
1,2,1,black_box,obj_pwldr,75725.26430763262,75495.82209909416,0.029000043869018555,2.0899999141693115
1,2,1,black_box,dr_pwldr,75702.87839781953,75477.67468740056,0.029000043869018555,2.0899999141693115
