idx_p,metric,value,time,first_stage_decision
1,obj_std,68571.96287554997,0.9500000476837158,"[76.31322933660722, 0.0, -0.0, 0.0]"
1,reopt_std,68229.34003037958,0.38699984550476074,
1,deterministic,46680.534665581996,0.34400010108947754,"[50.0, 0.0, 0.0, 0.0]"
1,reopt_deterministic,96283.49465264381,0.25500011444091797,
1,ws,43480.09922159621,0.5619997978210449,
1,obj_ldr,76088.25173373018,0.38000011444091797,"[90.0, 0.0, 0.0, 0.0]"
1,reopt_ldr,73696.35123795512,0.14100003242492676,
1,dr_ldr,76062.73646960685,0.0009999275207519531,
2,obj_std,57885.325603156096,0.10700011253356934,"[79.32241318412913, 0.0, 0.0, 0.0]"
2,reopt_std,57213.03418027897,0.15799999237060547,
2,deterministic,39777.56692317348,0.0,"[50.0, 0.0, 0.0, 0.0]"
2,reopt_deterministic,90073.39011556917,0.2049999237060547,
2,ws,36439.76034162211,0.23100018501281738,
2,obj_ldr,63078.90082779142,0.028999805450439453,"[90.0, 0.0, 0.0, 0.0]"
2,reopt_ldr,60750.12611531806,0.1419999599456787,
2,dr_ldr,63101.43082970933,0.0009999275207519531,
3,obj_std,58615.374247324566,0.12899994850158691,"[78.58054798019342, 0.0, 0.0, 0.0]"
3,reopt_std,58656.28189682256,0.1549999713897705,
3,deterministic,41473.038532381484,0.014999866485595703,"[50.0, 0.0, 0.0, 0.0]"
3,reopt_deterministic,91049.70813724445,0.15700006484985352,
3,ws,36224.42143167968,0.2590000629425049,
3,obj_ldr,63253.08922957462,0.029999971389770508,"[90.0, 0.0, 0.0, 0.0]"
3,reopt_ldr,61939.557060381616,0.12100005149841309,
3,dr_ldr,63244.977085669,0.0009999275207519531,
4,obj_std,60308.798585925775,0.0989999771118164,"[75.82154237099869, 0.0, 0.0, 0.0]"
4,reopt_std,60843.86061052427,0.17199993133544922,
4,deterministic,41062.334376183855,0.0,"[50.0, 0.0, 0.0, 0.0]"
4,reopt_deterministic,91273.34428000504,0.18700003623962402,
4,ws,42812.55571029521,0.24399995803833008,
4,obj_ldr,67071.45885071659,0.029999971389770508,"[90.0, 0.0, 0.0, 0.0]"
4,reopt_ldr,65318.797146444645,0.15799999237060547,
4,dr_ldr,67042.25457293916,0.0010001659393310547,
5,obj_std,56131.563848266065,0.11299991607666016,"[0.0, 0.0, 0.0, 77.3906958640647]"
5,reopt_std,56062.163608490155,0.17600011825561523,
5,deterministic,38465.53532952064,0.019999980926513672,"[0.0, 0.0, 0.0, 50.0]"
5,reopt_deterministic,88125.76625991338,0.19300007820129395,
5,ws,35590.13105037775,0.26199984550476074,
5,obj_ldr,62639.86239213268,0.029999971389770508,"[0.0, 0.0, 0.0, 90.0]"
5,reopt_ldr,59750.342012090136,0.17799997329711914,
5,dr_ldr,62606.35807699903,0.002000093460083008,
6,obj_std,60999.129808460566,0.10500001907348633,"[77.10544086121295, 0.0, 0.0, 0.0]"
6,reopt_std,61353.239445522864,0.15000009536743164,
6,deterministic,44267.89710617223,0.00599980354309082,"[50.0, 0.0, 0.0, 0.0]"
6,reopt_deterministic,92295.20728800673,0.1510000228881836,
6,ws,36696.877973225375,0.21900010108947754,
6,obj_ldr,67115.91331859092,0.029000043869018555,"[90.0, 0.0, 0.0, 0.0]"
6,reopt_ldr,64967.77003479704,0.12999987602233887,
6,dr_ldr,66999.03486735039,0.0010001659393310547,
7,obj_std,55136.72887728621,0.13199996948242188,"[0.0, 0.0, 0.0, 78.70534468891947]"
7,reopt_std,54283.05350592341,0.17600011825561523,
7,deterministic,36826.84908730857,0.00599980354309082,"[0.0, 0.0, 0.0, 50.0]"
7,reopt_deterministic,85618.33857002067,0.1830000877380371,
7,ws,37393.33683168331,0.24699997901916504,
7,obj_ldr,59796.98163596227,0.0280001163482666,"[0.0, 0.0, 0.0, 89.99999999999999]"
7,reopt_ldr,58049.20395642097,0.14699983596801758,
7,dr_ldr,59715.99901604465,0.0010001659393310547,
8,obj_std,55087.54256100295,0.10199999809265137,"[78.1683928869052, 0.0, 0.0, 0.0]"
8,reopt_std,55210.23207318345,0.1660001277923584,
8,deterministic,37585.09224523968,0.0,"[50.0, 0.0, 0.0, 0.0]"
8,reopt_deterministic,88341.68680271716,0.20199990272521973,
8,ws,36141.66966392956,0.23800015449523926,
8,obj_ldr,60846.80225792256,0.029999971389770508,"[90.0, 0.0, 0.0, 0.0]"
8,reopt_ldr,58555.68195008864,0.14599990844726562,
8,dr_ldr,60874.06982341781,0.0009999275207519531,
9,obj_std,78546.02666719248,0.11899995803833008,"[0.0, 0.0, 0.0, 75.76211550364594]"
9,reopt_std,77628.51909318281,0.15799999237060547,
9,deterministic,52742.37397757959,0.006000041961669922,"[0.0, 0.0, 0.0, 50.0]"
9,reopt_deterministic,102267.84889047529,0.1919999122619629,
9,ws,57472.16043690735,0.21500015258789062,
9,obj_ldr,86335.1736224588,0.029999971389770508,"[0.0, 0.0, 0.0, 90.0]"
9,reopt_ldr,85144.65432530707,0.11500000953674316,
9,dr_ldr,86304.20908831217,0.0009999275207519531,
10,obj_std,68139.67545271551,0.11100006103515625,"[0.0, 0.0, 77.33553010923382, 0.0]"
10,reopt_std,67435.7365099001,0.1809999942779541,
10,deterministic,45059.75826023854,0.0,"[0.0, 0.0, 50.0, 0.0]"
