idx_p,metric,value,time,first_stage_decision
1,obj_std,144704.0610859231,0.4119999408721924,"[0.0, 220.23604170298242]"
1,reopt_std,147890.45523180004,0.3429999351501465,
1,deterministic,125749.32265645199,0.41900014877319336,"[-0.0, 221.3621449256205]"
1,reopt_deterministic,147782.78511595368,0.15399980545043945,
1,ws,125601.84359952225,0.3430001735687256,
1,obj_ldr,214679.81418544365,0.6429998874664307,"[0.0, 398.45186086611693]"
1,reopt_ldr,219151.27991230635,0.16000008583068848,
1,dr_ldr,214671.51501115004,0.0,
2,obj_std,152051.30749190052,0.03800010681152344,"[239.61180231839145, 0.0]"
2,reopt_std,147932.99268336385,0.16299986839294434,
2,deterministic,124735.42136293699,0.005000114440917969,"[221.33532432728862, -0.0]"
2,reopt_deterministic,148114.90216381833,0.13499999046325684,
2,ws,125252.59747427751,0.1119999885559082,
2,obj_ldr,212854.79185711662,0.04699993133544922,"[398.40358378911947, 0.0]"
2,reopt_ldr,217398.075080512,0.15000009536743164,
2,dr_ldr,212882.40143108886,0.009999990463256836,
3,obj_std,149222.36408568744,0.039999961853027344,"[0.0, 228.87763166840907]"
3,reopt_std,150199.03906090138,0.15199995040893555,
3,deterministic,128477.25190630814,0.0,"[-0.0, 220.66901764902963]"
3,reopt_deterministic,150478.76640962664,0.16000008583068848,
3,ws,128672.04745174562,0.08500003814697266,
3,obj_ldr,219590.0868351847,0.04799985885620117,"[0.0, 397.2042317682533]"
3,reopt_ldr,224069.37756396038,0.1510000228881836,
3,dr_ldr,219585.7001618469,0.0010001659393310547,
4,obj_std,169831.66867556534,0.04499983787536621,"[226.02312505466128, 0.0]"
4,reopt_std,170124.97198734048,0.1530001163482666,
4,deterministic,148407.61878483946,0.0,"[229.98642662948063, -0.0]"
4,reopt_deterministic,170087.23330081982,0.1510000228881836,
4,ws,147967.24182460838,0.10500001907348633,
4,obj_ldr,255104.49191859784,0.04900002479553223,"[303.7129845003263, 0.0]"
4,reopt_ldr,194193.18811443204,0.14599990844726562,
4,dr_ldr,254611.42662680065,0.002000093460083008,
5,obj_std,170934.47438825757,0.04399991035461426,"[0.0, 228.25343106699896]"
5,reopt_std,171903.96086516834,0.15199995040893555,
5,deterministic,149475.18201168443,0.005000114440917969,"[-0.0, 228.61518609233522]"
5,reopt_deterministic,171910.81388048362,0.14899992942810059,
5,ws,149678.9515502039,0.09500002861022949,
5,obj_ldr,255765.13719289657,0.04799985885620117,"[0.0, 300.6831824506662]"
5,reopt_ldr,195049.46837959575,0.15400004386901855,
5,dr_ldr,255894.83868563254,0.0,
6,obj_std,146333.12232552018,0.046000003814697266,"[104.84115870379189, 118.1510202645778]"
6,reopt_std,146948.1089728046,0.1789999008178711,
6,deterministic,123847.08459365912,0.0,"[101.85624812882176, 110.7769511133961]"
6,reopt_deterministic,147629.949247535,0.1960000991821289,
6,ws,123127.88144051543,0.09500002861022949,
6,obj_ldr,211222.3650836764,0.05899977684020996,"[183.34124663187913, 199.39851200411294]"
6,reopt_ldr,214788.27950193852,0.23200011253356934,
6,dr_ldr,211183.31934157677,0.002000093460083008,
7,obj_std,166666.51212479218,0.046000003814697266,"[29.005734828733033, 205.10261690392537]"
7,reopt_std,166375.16644531593,0.16499996185302734,
7,deterministic,144298.3805929439,0.0,"[-0.0, 236.52317868014615]"
7,reopt_deterministic,166379.95821696287,0.17499995231628418,
7,ws,143516.83148068847,0.11100006103515625,
7,obj_ldr,248068.1184711291,0.06299996376037598,"[0.0, 425.7417216242631]"
7,reopt_ldr,252548.70921031488,0.15899991989135742,
7,dr_ldr,248064.3818029967,0.0009999275207519531,
8,obj_std,162757.89576530957,0.04799985885620117,"[0.0, 226.34053934645056]"
8,reopt_std,166697.57302480316,0.14300012588500977,
8,deterministic,144029.5553524443,0.0,"[-0.0, 225.2589477300506]"
8,reopt_deterministic,166695.46031643372,0.17400002479553223,
8,ws,144828.29710204725,0.09599995613098145,
8,obj_ldr,247584.23303822984,0.04699993133544922,"[0.0, 405.46610591409114]"
8,reopt_ldr,252130.71471270904,0.16300010681152344,
8,dr_ldr,247613.44183774476,0.0009999275207519531,
9,obj_std,144541.77406650453,0.05500006675720215,"[0.0, 224.4136116275209]"
9,reopt_std,145528.35562702757,0.1549999713897705,
9,deterministic,124081.50434497508,0.002000093460083008,"[-0.0, 218.1083442207829]"
9,reopt_deterministic,145844.08540014713,0.15899991989135742,
9,ws,123794.14091370652,0.08999991416931152,
9,obj_ldr,211677.74122478522,0.04200005531311035,"[0.0, 392.59501959740925]"
9,reopt_ldr,216144.58435089525,0.17199993133544922,
9,dr_ldr,211667.1307501155,0.0010001659393310547,
10,obj_std,165697.57210489915,0.031999826431274414,"[0.0, 218.47800163209487]"
10,reopt_std,165195.7632399916,0.16000008583068848,
10,deterministic,142761.16366512378,0.0,"[-0.0, 214.96485811452953]"
10,reopt_deterministic,165139.27434405705,0.15899991989135742,
10,ws,142470.25127867816,0.09599995613098145,
10,obj_ldr,245301.1280010529,0.04800009727478027,"[0.0, 386.9367446061532]"
10,reopt_ldr,249773.54395605146,0.14300012588500977,
10,dr_ldr,245293.3039408271,0.0,
