idx_p,idx_v,variable,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15
1,1,"Truncated(MixtureModel{Univariate, Continuous, Truncated{Normal{Float64}, Continuous, Float64, Float64, Float64}, Categorical{Float64, Vector{Float64}}}(
components: Truncated{Normal{Float64}, Continuous, Float64, Float64, Float64}[Truncated(Normal{Float64}(μ=30.0, σ=8.0); lower=10.0, upper=90.0), Truncated(Normal{Float64}(μ=70.0, σ=8.0); lower=10.0, upper=90.0)]
prior: Categorical{Float64, Vector{Float64}}(support=Base.OneTo(2), p=[0.5, 0.5])
)
; lower=10.0, upper=90.0)
",0.16154258082483078,1.0,0.3650184541256108,0.24125513541191881,0.2529099020826539,31.45432284184427,194.7122714100493,71.0735723093824,46.975335405393736,49.24466149660666,0.0,0.1111111111111111,0.018518518518518517,0.0,0.041408666249996104
1,2,"Uniform{Float64}(a=10.0, b=90.0)",0.16154258082483078,1.0,0.3650184541256108,0.24125513541191881,0.2529099020826539,31.45432284184427,194.7122714100493,71.0735723093824,46.975335405393736,49.24466149660666,0.0,0.1111111111111111,0.018518518518518517,0.0,0.041408666249996104
1,3,"Truncated(Normal{Float64}(μ=50.0, σ=40.0); lower=10.0, upper=90.0)",0.16154258082483078,1.0,0.3650184541256109,0.24125513541191887,0.2529099020826539,1533.2098574256668,9491.057092174397,3464.4109878034087,2289.7662639747878,2400.382319842707,0.0,0.1111111111111111,0.018518518518518517,0.0,0.041408666249996104
1,4,"Truncated(Normal{Float64}(μ=50.0, σ=15.0); lower=10.0, upper=90.0)",0.16154258082483078,1.0,0.3650184541256108,0.24125513541191881,0.2529099020826539,31.45432284184427,194.7122714100493,71.0735723093824,46.975335405393736,49.24466149660666,0.0,0.1111111111111111,0.018518518518518517,0.0,0.041408666249996104
2,1,"Truncated(MixtureModel{Univariate, Continuous, Truncated{Normal{Float64}, Continuous, Float64, Float64, Float64}, Categorical{Float64, Vector{Float64}}}(
components: Truncated{Normal{Float64}, Continuous, Float64, Float64, Float64}[Truncated(Normal{Float64}(μ=30.0, σ=8.0); lower=10.0, upper=90.0), Truncated(Normal{Float64}(μ=70.0, σ=8.0); lower=10.0, upper=90.0)]
prior: Categorical{Float64, Vector{Float64}}(support=Base.OneTo(2), p=[0.5, 0.5])
)
; lower=10.0, upper=90.0)
",0.1550016211782439,1.0,0.3565318674133,0.21474262995090368,0.26598231396189936,30.80868875079492,198.76365496439877,70.86557707834987,42.68303000570896,52.86761687895532,0.0,0.1111111111111111,0.018518518518518517,0.0,0.041408666249996104
2,2,"Truncated(Normal{Float64}(μ=50.0, σ=15.0); lower=10.0, upper=90.0)",0.1550016211782439,1.0,0.35653186741329995,0.21474262995090368,0.26598231396189936,1535.2020616508069,9904.425837491082,3531.2434394972347,2126.9024524965143,2634.4021027199055,0.0,0.1111111111111111,0.018518518518518517,0.0,0.041408666249996104
2,3,"Uniform{Float64}(a=10.0, b=90.0)",0.1550016211782439,1.0,0.3565318674133,0.21474262995090368,0.26598231396189936,30.80868875079492,198.76365496439877,70.86557707834987,42.68303000570896,52.86761687895532,0.0,0.1111111111111111,0.018518518518518517,0.0,0.041408666249996104
2,4,"Truncated(Normal{Float64}(μ=50.0, σ=40.0); lower=10.0, upper=90.0)",0.1550016211782439,1.0,0.3565318674133,0.21474262995090368,0.26598231396189936,30.80868875079492,198.76365496439877,70.86557707834987,42.68303000570896,52.86761687895532,0.0,0.1111111111111111,0.018518518518518517,0.0,0.041408666249996104
3,1,"Truncated(Normal{Float64}(μ=50.0, σ=15.0); lower=10.0, upper=90.0)",0.1754936130728345,1.0,0.3760429616402851,0.25288151723446367,0.25849289863579705,31.142738954197593,177.4579621953109,66.73181767057463,44.87583872528646,45.87162303386745,0.0,0.1111111111111111,0.018518518518518517,0.0,0.041408666249996104
3,2,"Truncated(Normal{Float64}(μ=50.0, σ=40.0); lower=10.0, upper=90.0)",0.1754936130728345,1.0,0.3760429616402851,0.25288151723446367,0.25849289863579705,31.142738954197593,177.4579621953109,66.73181767057463,44.87583872528646,45.87162303386745,0.0,0.1111111111111111,0.018518518518518517,0.0,0.041408666249996104
3,3,"Uniform{Float64}(a=10.0, b=90.0)",0.1754936130728345,1.0,0.3760429616402851,0.25288151723446367,0.25849289863579705,31.142738954197593,177.4579621953109,66.73181767057463,44.87583872528646,45.87162303386745,0.0,0.1111111111111111,0.018518518518518517,0.0,0.041408666249996104
3,4,"Truncated(MixtureModel{Univariate, Continuous, Truncated{Normal{Float64}, Continuous, Float64, Float64, Float64}, Categorical{Float64, Vector{Float64}}}(
components: Truncated{Normal{Float64}, Continuous, Float64, Float64, Float64}[Truncated(Normal{Float64}(μ=30.0, σ=8.0); lower=10.0, upper=90.0), Truncated(Normal{Float64}(μ=70.0, σ=8.0); lower=10.0, upper=90.0)]
prior: Categorical{Float64, Vector{Float64}}(support=Base.OneTo(2), p=[0.5, 0.5])
)
; lower=10.0, upper=90.0)
",0.1754936130728345,1.0,0.37604296164028556,0.25288151723446367,0.25849289863579705,1611.2898794764146,9181.473053424963,3452.6283192303986,2321.8248361974524,2373.3455833262774,0.0,0.1111111111111111,0.018518518518518517,0.0,0.041408666249996104
4,1,"Truncated(Normal{Float64}(μ=50.0, σ=40.0); lower=10.0, upper=90.0)",0.16909930423992264,1.0,0.3660837361508989,0.24909277540384195,0.24532206758029318,31.831332933627433,188.24047252414672,68.91177547645026,46.88934174437051,46.17954192191509,0.0,0.1111111111111111,0.018518518518518517,0.0,0.041408666249996104
4,2,"Truncated(Normal{Float64}(μ=50.0, σ=15.0); lower=10.0, upper=90.0)",0.16909930423992264,1.0,0.3660837361508989,0.24909277540384195,0.24532206758029318,31.831332933627433,188.24047252414672,68.91177547645026,46.88934174437051,46.17954192191509,0.0,0.1111111111111111,0.018518518518518517,0.0,0.041408666249996104
4,3,"Uniform{Float64}(a=10.0, b=90.0)",0.16909930423992264,1.0,0.36608373615089884,0.24909277540384195,0.24532206758029318,1385.3728831431583,8192.658682838553,2999.199099622643,2040.732089244643,2009.8399670535955,0.0,0.1111111111111111,0.018518518518518517,0.0,0.041408666249996104
4,4,"Truncated(MixtureModel{Univariate, Continuous, Truncated{Normal{Float64}, Continuous, Float64, Float64, Float64}, Categorical{Float64, Vector{Float64}}}(
components: Truncated{Normal{Float64}, Continuous, Float64, Float64, Float64}[Truncated(Normal{Float64}(μ=30.0, σ=8.0); lower=10.0, upper=90.0), Truncated(Normal{Float64}(μ=70.0, σ=8.0); lower=10.0, upper=90.0)]
prior: Categorical{Float64, Vector{Float64}}(support=Base.OneTo(2), p=[0.5, 0.5])
)
; lower=10.0, upper=90.0)
",0.16909930423992264,1.0,0.3660837361508989,0.24909277540384195,0.24532206758029318,31.831332933627433,188.24047252414672,68.91177547645026,46.88934174437051,46.17954192191509,0.0,0.1111111111111111,0.018518518518518517,0.0,0.041408666249996104
5,1,"Uniform{Float64}(a=10.0, b=90.0)",0.16610252869142006,1.0,0.3784550120164496,0.23642093839251652,0.26788274899359726,30.382328334296894,182.91309935889183,69.2243792158354,43.24448659471283,48.9992638831991,0.0,0.1111111111111111,0.018518518518518517,0.0,0.041408666249996104
5,2,"Truncated(Normal{Float64}(μ=50.0, σ=40.0); lower=10.0, upper=90.0)",0.16610252869142006,1.0,0.3784550120164495,0.23642093839251652,0.26788274899359726,1465.1924389448156,8821.012241582437,3338.356293885328,2085.4719917267976,2362.997008181283,0.0,0.1111111111111111,0.018518518518518517,0.0,0.041408666249996104
5,3,"Truncated(Normal{Float64}(μ=50.0, σ=15.0); lower=10.0, upper=90.0)",0.16610252869142006,1.0,0.3784550120164496,0.23642093839251652,0.26788274899359726,30.382328334296894,182.91309935889183,69.2243792158354,43.24448659471283,48.9992638831991,0.0,0.1111111111111111,0.018518518518518517,0.0,0.041408666249996104
