idx_p,idx_v,nb,displace_func,metric,value_uni,value_opt,time_uni,time_opt
1,1,1,black_box,obj_pwldr,34922.9094073289,34922.55002230838,0.029000043869018555,5.616999864578247
1,1,1,black_box,dr_pwldr,34912.9160549706,34818.1632188658,0.029000043869018555,5.616999864578247
1,1,1,black_box,reopt_pwldr,28534.930441188928,33925.70532794128,0.029000043869018555,5.616999864578247
1,1,1,local_search,obj_pwldr,34922.9094073289,34922.55002230838,0.029000043869018555,0.12400007247924805
1,1,1,local_search,dr_pwldr,34912.9160549706,34818.163218865804,0.029000043869018555,0.12400007247924805
1,1,1,local_search,reopt_pwldr,28534.930441188928,33925.70532794128,0.029000043869018555,0.12400007247924805
1,1,2,black_box,obj_pwldr,35285.349328691416,34917.72862007747,0.019999980926513672,1.4499998092651367
1,1,2,black_box,dr_pwldr,35272.423422333384,34812.45501169843,0.019999980926513672,1.4499998092651367
1,1,2,black_box,reopt_pwldr,27961.454126391756,33847.37307507695,0.019999980926513672,1.4499998092651367
1,1,2,local_search,obj_pwldr,35285.349328691416,34917.72862007747,0.019999980926513672,0.056999921798706055
1,1,2,local_search,dr_pwldr,35272.423422333384,34812.45501169843,0.019999980926513672,0.056999921798706055
1,1,2,local_search,reopt_pwldr,27961.454126391756,33847.37307507695,0.019999980926513672,0.056999921798706055
1,1,3,black_box,obj_pwldr,34922.031863531105,34917.65701861162,0.026000022888183594,1.741999864578247
1,1,3,black_box,dr_pwldr,34949.74477165601,34812.96233961109,0.026000022888183594,1.741999864578247
1,1,3,black_box,reopt_pwldr,33965.086527491854,33908.244844918896,0.026000022888183594,1.741999864578247
1,1,3,local_search,obj_pwldr,34922.031863531105,34917.65701861162,0.026000022888183594,0.09299993515014648
1,1,3,local_search,dr_pwldr,34949.74477165601,34812.96233961109,0.026000022888183594,0.09299993515014648
1,1,3,local_search,reopt_pwldr,33965.086527491854,33908.244844918896,0.026000022888183594,0.09299993515014648
1,1,4,black_box,obj_pwldr,35052.42140690432,34917.22786661264,0.024000167846679688,2.066999912261963
1,1,4,black_box,dr_pwldr,34866.63618512838,34811.90618764452,0.024000167846679688,2.066999912261963
1,1,4,black_box,reopt_pwldr,27502.661490182774,33842.5287647996,0.024000167846679688,2.066999912261963
1,1,4,local_search,obj_pwldr,35052.42140690432,34916.96935492684,0.024000167846679688,0.3039999008178711
1,1,4,local_search,dr_pwldr,34866.63618512838,34812.30515611528,0.024000167846679688,0.3039999008178711
1,1,4,local_search,reopt_pwldr,27502.661490182774,33908.60122144123,0.024000167846679688,0.3039999008178711
1,1,5,black_box,obj_pwldr,34921.54136443961,34917.69060287608,0.02700018882751465,2.503000020980835
1,1,5,black_box,dr_pwldr,34949.24520468799,34812.492506663744,0.02700018882751465,2.503000020980835
1,1,5,black_box,reopt_pwldr,33965.086527491854,33847.57078933109,0.02700018882751465,2.503000020980835
1,1,5,local_search,obj_pwldr,34921.54136443961,34917.291180899454,0.02700018882751465,0.2200000286102295
1,1,5,local_search,dr_pwldr,34949.24520468799,34812.595582789094,0.02700018882751465,0.2200000286102295
