idx_p,metric,value,time,first_stage_decision
1,obj_std,27518.785553722355,1.3859999179840088,"[0.0, 45.37779095646409, 69.00594986471278, 0.0, 93.05665219520777]"
1,reopt_std,26799.49370846623,0.8870000839233398,
1,deterministic,23982.818188677447,0.437999963760376,"[0.0, 50.0, 50.0, 0.0, 100.0]"
1,reopt_deterministic,26783.60354753512,0.16300010681152344,
1,ws,23928.188453884362,0.40799999237060547,
1,obj_ldr,37298.47006035428,14.739000082015991,"[0.0, 10.0, 170.0, 0.0, 180.0]"
1,reopt_ldr,37284.9530631197,0.07699990272521973,
1,dr_ldr,37284.95306311969,0.2969999313354492,
2,obj_std,26859.87975594548,0.09100008010864258,"[0.0, 17.503931362639342, 127.87588419705048, 59.020700129677294, 0.0]"
2,reopt_std,26503.031355130213,0.15799999237060547,
2,deterministic,23706.37776621532,0.0,"[0.0, 0.0, 150.0, 50.0, 0.0]"
2,reopt_deterministic,26515.560229827664,0.15199995040893555,
2,ws,23563.171920048433,0.07799983024597168,
2,obj_ldr,37295.38553006622,0.03000020980834961,"[0.0, 0.0, 190.0, 90.0, 0.0]"
2,reopt_ldr,30523.13920641455,0.10399985313415527,
2,dr_ldr,37212.42943541061,0.0,
3,obj_std,24895.553683253525,0.07599997520446777,"[45.0098602484957, 0.0, 152.01669806451156, 0.0, 0.0]"
3,reopt_std,25033.00980266662,0.13499999046325684,
3,deterministic,22279.03583030953,0.00800013542175293,"[50.0, 0.0, 150.0, 0.0, 0.0]"
3,reopt_deterministic,25024.009356756287,0.13699984550476074,
3,ws,22391.168386098212,0.0840001106262207,
3,obj_ldr,34667.27064949587,0.029000043869018555,"[10.0, 0.0, 190.0, 0.0, 0.0]"
3,reopt_ldr,25109.01951122372,0.12099981307983398,
3,dr_ldr,34715.09582931133,0.0,
4,obj_std,25904.138028781144,0.07799983024597168,"[94.04721687078691, 0.0, 6.339143447308949, 0.0, 101.44134129762598]"
4,reopt_std,25069.627818103094,0.1360001564025879,
4,deterministic,22673.12670313199,0.003000020980834961,"[100.0, 0.0, 0.0, 0.0, 100.0]"
4,reopt_deterministic,25066.6279129669,0.13699984550476074,
4,ws,22499.81720654188,0.07599997520446777,
4,obj_ldr,34931.05194822448,0.02700018882751465,"[100.0, 0.0, 0.0, 0.0, 180.0]"
4,reopt_ldr,28860.299120994143,0.12299990653991699,
4,dr_ldr,34847.20151269029,0.0009999275207519531,
5,obj_std,25377.082639039407,0.08299994468688965,"[130.4809137246135, 0.0, 0.0, 0.0, 70.77884456301271]"
5,reopt_std,25231.797910066518,0.12800002098083496,
5,deterministic,22547.640016709556,0.006000041961669922,"[150.0, 0.0, 0.0, 0.0, 50.0]"
5,reopt_deterministic,25264.087950494253,0.12899994850158691,
5,ws,22626.40005404679,0.07800006866455078,
5,obj_ldr,35105.73794948856,0.029999971389770508,"[110.0, 0.0, 0.0, 0.0, 170.0]"
5,reopt_ldr,28952.61516322125,0.11599993705749512,
5,dr_ldr,35074.413416688854,0.0,
6,obj_std,24491.991154431707,0.0710000991821289,"[0.0, 0.0, 68.02287336065947, 135.5663745895384, 0.0]"
6,reopt_std,24672.737656366327,0.14699983596801758,
6,deterministic,21902.84875432708,0.004000186920166016,"[0.0, 0.0, 50.0, 150.0, 0.0]"
6,reopt_deterministic,24681.83164527605,0.1359999179840088,
6,ws,22134.790290344983,0.07999992370605469,
6,obj_ldr,33982.01336454389,0.03299999237060547,"[0.0, 0.0, 90.0, 270.0, 0.0]"
6,reopt_ldr,34056.37552058105,0.0710000991821289,
6,dr_ldr,34056.375520581045,0.0,
7,obj_std,28846.18035353935,0.13100004196166992,"[0.0, 77.23365767939569, 0.0, 26.7369374242841, 98.61042142970186]"
7,reopt_std,28508.297957756735,0.24100017547607422,
7,deterministic,25598.542627845323,0.006999969482421875,"[0.0, 50.0, 0.0, 50.0, 100.0]"
7,reopt_deterministic,28551.870255429312,0.2969999313354492,
7,ws,25491.102197433822,0.11100006103515625,
7,obj_ldr,40037.4744053606,0.05099987983703613,"[0.0, 90.0, 0.0, 0.0, 270.0]"
7,reopt_ldr,39774.076925527384,0.23099994659423828,
7,dr_ldr,39998.60975287234,0.002000093460083008,
8,obj_std,28034.980399798453,0.11800003051757812,"[46.90855877097569, 39.96228813714673, 41.80510367628952, 77.38351925575233, 0.0]"
8,reopt_std,27479.953863778293,0.2330000400543213,
8,deterministic,24557.572974679468,0.004999876022338867,"[50.0, 50.0, 50.0, 50.0, 0.0]"
8,reopt_deterministic,27483.676143773882,0.19099998474121094,
8,ws,24503.768646798126,0.08600020408630371,
8,obj_ldr,38708.30868157496,0.05499982833862305,"[10.0, 10.0, 90.0, 90.0, 0.0]"
8,reopt_ldr,27645.64802252139,0.1490001678466797,
8,dr_ldr,38658.41591690929,0.0029997825622558594,
